artikel;name;ek
200210;RETOPOX Gießharz   -   1 kg, Schnellhärtendes 2-K-Epoxidharz;14.7
200211;ROCKWOOL-Randstreifen RST 12/120/1000 mm, je Paket 66 Stk. a 1,00 m;1.36
200212;Rohr Copex PE-Xc, Ringbundlänge 240 m, 16 x 2 mm;0.35
200213;ROTH - FBH System-Verbundrolle DES sm / WLG 040 - 30-2;3.9
200214;ROTH - FBH Verbundfaltplatte DES sg / WLG 040 - 20-2;3.49
200215;ROTH - Flipfix Tacker Systemplatte;2.98
200216;ROTH - Klebeband (schwarz);2.5
200217;ROTH - PE-RT Systemheizrohr X-PERT S5+ 14mm - VPE 600lfm.;0.65
200218;ROTH - Randstreifen 10/160 grau - 25 lfm. je Rolle;12
200219;ROTH - Rohrführungsbogen 14-17mm;0.68
200220;ROTH - Rohrmanschette ¢15-30mm;4.82
200221;ROTH - RW Systempaket Floorfix 30-3 / 045 (VE: 6,00qm) VPE: 6,00qm je Paket, WLG 045;77
200222;ROTH - Schutzrohr PE - 19/25mm;0.59
200223;ROTH - Systemheizrohr X-PERT S5+ 17mm VPE 600 Meter;0.67
200224;Roth Dehnungsfugenprofil ( Länge : 1800 mm );5.91
200225;Roth Klebeband für FlipFix;4.17
200226;Roth Klemmverschraubung 14mm Ve: 10 Stck. je Beutel;1.5
200227;Roth Klemmverschraubung 17mm Ve: 10 Stck. je Beutel;1.75
200228;Roth Klemmverschraubung Universal 16 mm;1.57
200229;Roth Kupplung PressCheck 14 mm;4.34
200230;Roth Kupplung PressCheck 16 mm;4.42
200231;Roth Kupplung PressCheck 17 mm;4.51
200232;Roth Messstellenset;2.5499999999999998
200233;Roth Noppenfolie 14-17 mm (auf bauseitiger Dämmung ) 1,26 qm / Platte 1,26 qm / Platte;4.16
200234;Roth Noppenplatte 14-17 mm / EPS DEO 10 mm WLG 035 1,26 qm / Platte 1,26 qm / Platte;7.99
200235;Roth Noppenplatte 14-17 mm / EPS DESsg 30-2 mm WLG 040 1,26 qm / Platte 1,26 qm / Platte;9.35
200236;Roth Original Tacker-Klips 14 mm ( 1000 Stk./Kt. );32.130000000000003
200237;Roth Original Tacker-Klips SPS 17 mm ( 1000 Stk./Kt. );23.38
200238;Roth PE-Abdeckfolie ( 50 x 1,5 m );0.45
200239;Roth PE-Schutzrohr 19/25 ( für Rohr 14-17 mm );0.52
200240;Roth Randdämmstreifen 8x150 mm Euroline ( Rolle a 25 lfm. ) ohne Folienlasche ohne Folienlasche;6.38
200241;Roth Randdämmstreifen 8x160 mm ( Rolle a 25 lfm. ) mit Folienlasche mit Folienlasche;9.7799999999999994
200242;Roth Rohrführungsbogen 14/16/17 mm;0.6
200243;Roth Systempaket Floorfix 30-2 mm WLG 032 (6 qm / Paket);68
200244;Roth Systempaket Floorfix 30-2 mm WLG 040 (6 qm / Paket);65.28
200245;Roth Systempaket Floorfix 35-3 mm WLG 045 (6 qm / Paket);62.73
200246;Roth Systemrohr Alu-Laserflex 14 mm ( 240 m / Rolle );0.74
200247;Roth Systemrohr Alu-Laserflex 14 mm ( 600 m / Rolle );0.74
200248;Roth Systemrohr Alu-Laserflex 16 mm ( 200 m / Rolle );0.78
200249;Roth Systemrohr Alu-Laserflex 16 mm ( 600 m / Rolle );0.78
200250;Roth Systemrohr ClimaComfort S5 11 x 1,3 mm (120 m / Rolle);0.71
